Category,Word,Meaning,Phrase,Expressions,Media
general,Beautiful,Pleasing to look at; attractive,The sunset was beautiful over the calm lake.,This is beautiful.; I like beautiful.,media/20231115_아린탄천에서.mp4
general,Helpful,Giving or ready to give help,My neighbor is always helpful when I need assistance.,You're very helpful.; That was really helpful advice.,media/20231115_아린탄천에서.mp4
general,Creative,Having the ability to make new things,She is very creative with her art projects.,Be creative with your ideas.; That's a creative solution.,media/20231115_아린탄천에서.mp4
general,Careful,Taking care to avoid danger or mistakes,Be careful when crossing the busy street.,This is careful.; I like careful.,media/20231115_아린탄천에서.mp4
general,Popular,Liked by many people,Pizza is a popular food choice among teenagers.,This is popular.; I like popular.,
general,Modern,Relating to the present time,The modern technology makes our lives easier.,This is modern.; I like modern.,
general,Simple,Easy to understand or do,This recipe is simple and quick to make.,This is simple.; I like simple.,
general,Natural,"Existing in nature, not made by humans",I prefer natural foods over processed ones.,This is natural.; I like natural.,
general,Special,Better or more important than usual,Today is a special day for our family.,This is special.; I like special.,
general,Perfect,Having no mistakes or faults,The weather is perfect for a picnic today.,This is perfect.; I like perfect.,
general,Honest,Telling the truth; not lying,An honest person always tells the truth.,This is honest.; I like honest.,
general,Generous,Willing to give more than necessary,My grandfather was generous with his time and money.,This is generous.; I like generous.,
general,Patient,Able to wait calmly,Good teachers are patient with slow learners.,This is patient.; I like patient.,
general,Confident,Feeling sure about your abilities,She felt confident about passing the exam.,This is confident.; I like confident.,
general,Curious,Wanting to know or learn about things,Children are naturally curious about the world.,This is curious.; I like curious.,
general,Organized,Arranged in a neat and logical way,Keep your desk organized for better productivity.,This is organized.; I like organized.,
general,Relaxed,Free from tension and anxiety,I feel relaxed when I listen to music.,This is relaxed.; I like relaxed.,
general,Successful,Achieving desired results,Hard work leads to successful outcomes.,This is successful.; I like successful.,
general,성남 탄천,성남의 중심을 통과하는 개천,아린이가 탄천에서 할머니와 놀고 있어요,탄천은 물이 말고 공기가 깨끗하여 많은 시민이 운동과 휴식을 하기 좋은 물가 공원이예요; 새벽마다 많은 사람들이 탄천에 나와 운전해요,media/20231115_아린탄천에서.mp4
general,일본 혼슈,일본의 4 개 큰섬 가운데 중앙에 있는 가장 큰섬,일본 여행,동경은 일본 혼슈에 있어요; 혼슈는 일본에서 제일 큰 섬이예요,media/parrots.jpg
general,Happy,Feeling joy and pleasure,Children are happy when they play with friends.,I am happy today.; Happy people smile often.,
general,Smart,Having intelligence and good judgment,Smart students ask questions to learn more.,She is very smart.; Smart people study hard.,
general,Strong,Having physical power,Exercise makes your muscles strong and healthy.,He is strong.; Strong people help others.,
general,Kind,Having a good and caring nature,Kind people help others without expecting rewards.,Be kind to animals.; Kind words make difference.,
general,Brave,Not afraid in dangerous situations,The brave firefighter saved the family from fire.,Be brave.; Brave people face fears.,
general,Polite,Having good manners,Polite children say please and thank you.,Always be polite.; Polite behavior is good.,
general,Funny,Causing laughter,The funny movie made everyone in theater laugh.,That's really funny.; Funny stories entertain us.,
general,Quick,Moving or happening fast,The quick rabbit ran away from the dog.,Be quick.; Quick thinking helps.,
general,Quiet,Making little or no noise,Please be quiet during the library study time.,Stay quiet.; Quiet places help concentration.,
general,Fair,Treating everyone equally,The fair teacher gives everyone equal chances.,Be fair to everyone.; Fair rules apply equally.,
general,Mommy at Jeju Island in 1970,Beautiful young woman is staring at horizons from a ship,Beautiful woman,,media/그림1.jpg
science,Animal,A living creature that can move and eat,The zoo has many different animals from around the world.,This is animal.; I like animal.,
science,Plant,A living thing that grows in soil,Water the plant every morning to keep it healthy.,This is plant.; I like plant.,
science,Water,Clear liquid that falls as rain,Drink plenty of water to stay healthy.,This is water.; I like water.,
science,Energy,Power used to make things work,Solar panels collect energy from the sun.,This is energy.; I like energy.,
science,Nature,The physical world including plants and animals,Spending time in nature helps reduce stress.,This is nature.; I like nature.,
science,Weather,Conditions outside like rain or sunshine,Check the weather before planning outdoor activities.,The weather is nice today.; Check the weather forecast.,
science,Climate,The usual weather in a place,The climate here is warm and sunny most of the year.,The climate is pleasant.; Climate affects agriculture.,
science,Ocean,Very large area of salt water,The Pacific Ocean is the largest ocean on Earth.,The ocean is vast.; Swim in the ocean.,
science,Forest,Large area covered with trees,Many wild animals live in the forest.,The forest is green.; Walk through the forest.,
science,Mountain,Very high area of land,We climbed the mountain to see the beautiful view.,The mountain is tall.; Climb the mountain.,
science,River,Large stream of water flowing to the sea,The river flows through the center of our city.,The river flows gently.; Cross the river carefully.,
science,Earth,The planet we live on,Earth is the only planet known to have life.,Earth is beautiful.; Take care of Earth.,
science,Space,The area beyond Earth where stars exist,Astronauts travel to space in rockets.,Space is very big.; Astronauts travel to space.,
science,Science,Study of the natural world,Science helps us understand how things work.,I love science class.; Science explains many things.,
science,Health,Being free from illness,Exercise and good food are important for health.,Health comes first.; Good health is wealth.,
science,Medicine,Treatment used to cure illness,Take your medicine three times a day.,Medicine heals illness.; Take medicine as directed.,
science,Doctor,Person who treats sick people,Visit the doctor if you feel unwell.,The doctor helps people.; Visit your doctor regularly.,
science,Environment,The natural world around us,We must protect the environment for future generations.,Protect the environment.; The environment is changing.,
science,Temperature,How hot or cold something is,The temperature today is perfect for swimming.,The temperature is hot.; Check the water temperature.,
science,Experiment,Test done to learn something new,We did a science experiment in class today.,We did an experiment.; The experiment was fun.,
science,Discovery,Finding something new,The discovery of electricity changed the world.,What a great discovery!; Scientists make discoveries.,
science,Invention,Something created for first time,The invention of the wheel helped transportation.,That's a useful invention.; Inventions make life easier.,
science,Solar,Related to the sun,Solar panels use sunlight to create electricity.,Solar energy is clean.; Use solar power.,
science,Cell,Smallest unit of living things,All plants and animals are made of cells.,Cells are very small.; Every cell has function.,
science,Bone,Hard parts inside body,Strong bones support your body weight.,Exercise strengthens bones.; Bones protect organs.,
science,Blood,Red liquid that flows in body,Blood carries oxygen to all body parts.,Blood is important.; Heart pumps blood.,
science,Brain,Organ that controls thinking,The brain controls all body functions.,Use your brain.; Brain controls everything.,
science,Gravity,Force that pulls things down,Gravity makes things fall to the ground.,Gravity pulls everything down.; Gravity keeps us grounded.,
science,Electricity,Power that makes lights work,Electricity powers our computers and phones.,Electricity is useful.; Save electricity.,
science,Chemical,Substance used in science,Water is a chemical made of hydrogen and oxygen.,Chemicals can be dangerous.; Handle chemicals carefully.,
business,Work,Activity done to earn money,I work at a local restaurant on weekends.,I work every day.; Work can be fun.,
business,Job,Regular paid employment,She found a good job at the bank.,I need a job.; My job is interesting.,
business,Money,Coins and notes used to buy things,Save your money for something special.,Save your money.; Money can't buy happiness.,
business,Business,Activity of buying and selling,My uncle owns a small business in town.,Business is growing.; Start your own business.,
business,Company,Organization that sells goods or services,The company employs over 100 people.,The company is hiring.; Our company is successful.,
business,Customer,Person who buys goods or services,Good customer service is very important.,The customer is happy.; Help every customer.,
business,Product,Something made to be sold,This product is very popular with young people.,This product is great.; We sell quality products.,
business,Service,Work done to help customers,The hotel provides excellent room service.,Good service matters.; The service was excellent.,
business,Price,Amount of money something costs,The price of gas has increased this month.,The price is fair.; What's the price?,
business,Sale,Act of selling something,The store is having a big sale this weekend.,There's a big sale.; The sale starts tomorrow.,
business,Profit,Money gained from business,The company made a good profit last year.,The profit increased.; We made a good profit.,
business,Market,Place where things are bought and sold,We buy fresh vegetables at the local market.,Go to the market.; The market is busy.,
business,Office,Place where business work is done,My office is on the third floor of the building.,I work in an office.; The office is closed.,
business,Manager,Person who controls a business or team,The manager held a meeting with all employees.,The manager is nice.; Ask the manager.,
business,Employee,Person who works for a company,Every employee received a bonus this Christmas.,Every employee matters.; She's a good employee.,
business,Meeting,Gathering of people to discuss business,We have a team meeting every Monday morning.,We have a meeting.; The meeting starts soon.,
business,Contract,Legal agreement between people or companies,Read the contract carefully before signing it.,Sign the contract.; Read the contract carefully.,
business,Investment,Money put into something to make profit,Real estate can be a good investment.,This is a good investment.; Investment takes patience.,
business,Budget,Plan for spending money,Make a monthly budget to control your expenses.,Make a budget.; Stay within your budget.,
business,Success,Achievement of desired goals,Hard work and dedication lead to success.,Success takes time.; Celebrate your success.,
business,Goal,Something you want to achieve,Set a goal and work hard to reach it.,Reach your goal.; Goals give direction.,
business,Plan,Idea about what to do,Make a plan before starting any project.,Follow the plan.; Good plans succeed.,
business,Team,Group working together,Our team works together to finish projects.,Join the team.; Teamwork makes success.,
business,Idea,Thought about something new,She had a great idea for the school project.,That's a good idea.; Ideas create solutions.,
business,Store,Place where things are sold,The grocery store sells fresh food daily.,Go to the store.; The store is open.,
business,Sell,Give something for money,They sell books at the school bookstore.,Sell your old toys.; Stores sell products.,
business,Buy,Get something by paying money,We buy groceries every Saturday morning.,Buy what you need.; Don't buy unnecessary things.,
business,Save,Keep money for future use,Save some money each week for emergencies.,Save your money.; Saving is important.,
business,Spend,Use money to buy things,Don't spend all your money on games.,Spend money wisely.; Think before you spend.,
business,Earn,Get money by working,Students can earn money by helping neighbors.,Earn your money.; Work hard to earn.,
literature,Story,"Description of events, real or imaginary",Grandma told us an interesting story about her childhood.,Tell me a story.; That's a great story.,
literature,Book,Set of pages with writing or pictures,I borrowed a book from the library yesterday.,I love this book.; Read a good book.,
literature,Author,Person who writes books or stories,The author signed copies of her new book.,The author is famous.; Who's your favorite author?,
literature,Character,Person in a story or play,Harry Potter is the main character in the series.,The main character is brave.; I like this character.,
literature,Hero,Main good character in a story,The hero saved the village from danger.,The hero saves everyone.; You're my hero.,
literature,Adventure,Exciting and dangerous experience,The book describes an adventure in the jungle.,What an adventure!; Life is an adventure.,
literature,Mystery,Something that is difficult to understand,The detective solved the mystery of the missing jewels.,It's a mystery.; Solve the mystery.,
literature,Fiction,"Stories that are made up, not real",I enjoy reading fiction more than factual books.,I read fiction books.; Fiction can be exciting.,
literature,Poetry,Writing that expresses feelings in verse,She writes beautiful poetry about nature.,Poetry is beautiful.; Write some poetry.,
literature,Novel,Long story book,This novel took me two weeks to finish reading.,This novel is long.; I finished the novel.,
literature,Drama,Play performed in theater,The school is performing a drama next month.,The drama was moving.; Life is full of drama.,
literature,Comedy,Funny play or story,We watched a comedy that made everyone laugh.,I love comedy shows.; That comedy was funny.,
literature,Poem,Piece of writing in verse,She recited a poem about friendship.,Recite a poem.; Write a short poem.,
literature,Reading,Activity of looking at and understanding words,Reading books improves your vocabulary.,Reading is fun.; I enjoy reading.,
literature,Writing,Activity of creating text,Good writing takes practice and patience.,Writing takes practice.; Good writing is clear.,
